"Source" "Statistic" "df1" "df2" "Test.Comparison" "Value" "Reported.Comparison" "Reported.P.Value" "Computed" "Raw" "Error" "DecisionError" "OneTail" "OneTailedInTxt" "APAfactor" "folder"
"Duckworth-2011-Role of test motivation in inte" "Qb" NA 2 "=" 28.95 "<" 0.001 5.17115284432008e-07 "Qbetween(2) = 28.95, P < 0.001" FALSE FALSE FALSE FALSE 0.61 "IQ"
"Duckworth-2011-Role of test motivation in inte" "Qb" NA 3 "=" 6.16 "=" 0.1 0.104080117343154 "Qbetween(3) = 6.16, P = 0.10" FALSE FALSE FALSE FALSE 0.61 "IQ"
"Duckworth-2011-Role of test motivation in inte" "Qb" NA 1 "=" 2.14 "=" 0.14 0.143501891388936 "Qbetween(1) = 2.14, P = 0.14" FALSE FALSE FALSE FALSE 0.61 "IQ"
"Duckworth-2011-Role of test motivation in inte" "Chi2" 1 NA "=" 0.002 "=" 0.96 0.96432940827032 " 2(1) = 0.002, P = 0.96" FALSE FALSE FALSE FALSE 0.61 "IQ"
"Duckworth-2011-Role of test motivation in inte" "Chi2" 1 NA "=" 0.03 "=" 0.86 0.862490230135922 " 2(1) = 0.03, P = 0.86" FALSE FALSE FALSE FALSE 0.61 "IQ"
"Duckworth-2011-Role of test motivation in inte" "Chi2" 3 NA "=" 55.07 "<" 0.001 6.63408287611025e-12 " 2(3) = 55.07, P < 0.001" FALSE FALSE FALSE FALSE 0.61 "IQ"
"Duckworth-2011-Role of test motivation in inte" "Chi2" 1 NA "=" 12.12 "=" 0.002 0.000498839037429844 " 2(1) = 12.12, P = 0.002" TRUE FALSE TRUE FALSE 0.61 "IQ"
"Forbes-2009-Working memory in schizophrenia_ a" "Z" NA NA "=" 2.31 "=" 0.021 0.0208881541239022 "Z= 2.31, p= 0.021" FALSE FALSE FALSE FALSE 0.33 "IQ"
"Forbes-2009-Working memory in schizophrenia_ a" "Z" NA NA "=" 2.11 "=" 0.035 0.0348583558753142 "Z= 2.11, p= 0.035" FALSE FALSE FALSE FALSE 0.33 "IQ"
"Forbes-2009-Working memory in schizophrenia_ a" "Z" NA NA "=" 2.34 "=" 0.019 0.0192837398907167 "Z= 2.34, p= 0.019" FALSE FALSE FALSE FALSE 0.33 "IQ"
"Forbes-2009-Working memory in schizophrenia_ a" "Z" NA NA "=" 3.65 "<" 0.001 0.000262240308840969 "Z= 3.65, p<0.001" FALSE FALSE FALSE FALSE 0.33 "IQ"
"Forbes-2009-Working memory in schizophrenia_ a" "Z" NA NA "=" 3.75 "<" 0.001 0.000176834570401608 "Z= 3.75, p<0.001" FALSE FALSE FALSE FALSE 0.33 "IQ"
"Gallinat-2014-Differences in the performance 1" "t" NA 137 "=" -21.27 "<" 1e-04 3.02623198914677e-45 "t(137) = -21.27, p < .0001" FALSE FALSE FALSE TRUE 1 "IQ"
"Gallinat-2014-Differences in the performance 1" "t" NA 12 "=" -15.67 "<" 1e-04 2.35557673950602e-09 "t(12) = -15.67, p < .0001" FALSE FALSE FALSE TRUE 1 "IQ"
"Gallinat-2014-Differences in the performance 1" "t" NA 12 "=" -4.23 "=" 0.0012 0.00116799238936149 "t(12) = -4.23, p = .0012" FALSE FALSE FALSE TRUE 1 "IQ"
"Gallinat-2014-Differences in the performance 1" "Z" NA NA "=" -29.151 "<" 0.001 8.11373242853152e-187 "Z = -29.151, p < .001" FALSE FALSE FALSE TRUE 1 "IQ"
"Jasinski-2011-Use of the Wechsler Adult Intell" "Q" NA 21 "=" 30.58 "<" 0.08 0.080937608744522 "Q(21) = 30.58, p < .08" TRUE FALSE FALSE FALSE 0.05 "IQ"
"Kavsek-2004-Predicting later IQ from infant vi" "F" 1 34 "=" 0.6 "=" 0.445 0.443931681639855 "F(1,34) = 0.60, p = .445" FALSE FALSE FALSE TRUE 0.21 "IQ"
"Kavsek-2004-Predicting later IQ from infant vi" "F" 1 34 "=" 1.34 "=" 0.255 0.255101593984697 "F(1,34) = 1.34, p = .255" FALSE FALSE FALSE TRUE 0.21 "IQ"
"Kavsek-2004-Predicting later IQ from infant vi" "F" 1 34 "=" 6.73 "=" 0.014 0.0138883629845195 "F(1,34) = 6.73, p = .014" FALSE FALSE FALSE TRUE 0.21 "IQ"
"Kavsek-2004-Predicting later IQ from infant vi" "F" 1 9 "=" 4.3 "=" 0.065 0.06796160936033 "F(1,9) = 4.30, p = .065" TRUE FALSE FALSE TRUE 0.21 "IQ"
"Kavsek-2004-Predicting later IQ from infant vi" "F" 1 24 "=" 1.67 "=" 0.209 0.208563296805417 "F(1,24) = 1.67, p = .209" FALSE FALSE FALSE TRUE 0.21 "IQ"
"Kavsek-2004-Predicting later IQ from infant vi" "F" 1 23 "=" 9.02 "=" 0.006 0.00634053859223381 "F(1,23) = 9.02, p = .006" FALSE FALSE FALSE TRUE 0.21 "IQ"
"Kavsek-2004-Predicting later IQ from infant vi" "F" 1 22 "=" 1.54 "=" 0.228 0.227688313508833 "F(1,22) = 1.54, p = .228" FALSE FALSE FALSE TRUE 0.21 "IQ"
"Kavsek-2004-Predicting later IQ from infant vi" "F" 2 22 "=" 2.11 "=" 0.063 0.145107522809085 "F(2,22) = 2.11, p = 0.063" TRUE FALSE FALSE TRUE 0.21 "IQ"
"Kavsek-2004-Predicting later IQ from infant vi" "F" 1 8 "=" 0.004 "=" 0.954 0.951122668240321 "F(1,8) = 0.004, p = .954" FALSE FALSE FALSE TRUE 0.21 "IQ"
"Kavsek-2004-Predicting later IQ from infant vi" "F" 2 8 "=" 1.93 "=" 0.208 0.207024236597424 "F(2,8) = 1.93, p = .208" FALSE FALSE FALSE TRUE 0.21 "IQ"
"Kavsek-2004-Predicting later IQ from infant vi" "F" 1 7 "=" 1.17 "=" 0.316 0.315250331179301 "F(1,7) = 1.17, p = .316" FALSE FALSE FALSE TRUE 0.21 "IQ"
"Kavsek-2004-Predicting later IQ from infant vi" "F" 2 7 "=" 13.09 "=" 0.004 0.00431296371204563 "F(2,7) = 13.09, p = .004" FALSE FALSE FALSE TRUE 0.21 "IQ"
"Khandaker-2011-A quantitative meta-analysis of" "Z" NA NA "=" 1.31 "=" 0.1 0.190195835590478 "Z = 1.31, p = 0.10" TRUE FALSE TRUE FALSE 0.17 "IQ"
"Khandaker-2011-A quantitative meta-analysis of" "Z" NA NA "=" 1.13 "=" 0.26 0.258476224480036 "Z = 1.13, p = 0.26" FALSE FALSE FALSE FALSE 0.17 "IQ"
"Laws-1999-A meta-analytic review of Wisconsin" "Chi2" 27 NA "=" 50.69 "<" 0.003 0.00378435070548873 " 2(27) = 50.69, P < .003" TRUE FALSE FALSE FALSE 0.32 "IQ"
"Laws-1999-A meta-analytic review of Wisconsin" "t" NA 25 "=" 6.86 "<" 1e-05 3.43608375434204e-07 "t(25) = 6.86, P < .00001" FALSE FALSE FALSE FALSE 0.32 "IQ"
"Laws-1999-A meta-analytic review of Wisconsin" "t" NA 19 "=" 10.77 "<" 1e-05 1.57277448550056e-09 "t(19) = 10.77, P < .00001" FALSE FALSE FALSE FALSE 0.32 "IQ"
"Laws-1999-A meta-analytic review of Wisconsin" "t" NA 11 "=" 9.56 "<" 1e-05 1.15685641602158e-06 "t(11) = 9.56, P < .00001" FALSE FALSE FALSE FALSE 0.32 "IQ"
"Laws-1999-A meta-analytic review of Wisconsin" "Z" NA NA "=" 4.23 "<" 1e-04 2.33691311894148e-05 "Z = 4.23, P < .0001" FALSE FALSE FALSE FALSE 0.32 "IQ"
"Laws-1999-A meta-analytic review of Wisconsin" "Z" NA NA "=" 6.7 "<" 1e-04 2.08419539759304e-11 "Z = 6.70, P < .0001" FALSE FALSE FALSE FALSE 0.32 "IQ"
"Laws-1999-A meta-analytic review of Wisconsin" "Z" NA NA "=" 2.86 "=" 0.002 0.00423641008080924 "Z = 2.86, P = .002" TRUE FALSE TRUE FALSE 0.32 "IQ"
"Laws-1999-A meta-analytic review of Wisconsin" "Z" NA NA "=" 3.78 "<" 1e-04 0.00015682835876717 "Z = 3.78, P < .0001" TRUE FALSE FALSE FALSE 0.32 "IQ"
"Lopez-2010-Estimated intelligence quotient in" "Chi2" 13 NA "=" 43.7 "<" 0.001 3.44075221316844e-05 " X2(13) = 43.7, p < 0.001" FALSE FALSE FALSE FALSE 0.6 "IQ"
"Lopez-2010-Estimated intelligence quotient in" "Chi2" 12 NA "=" 9.58 "=" 0.65 0.652753543773774 " X2(12) = 9.58, p = 0.65" FALSE FALSE FALSE FALSE 0.6 "IQ"
"Lopez-2010-Estimated intelligence quotient in" "Z" NA NA "=" 0.47 "=" 0.64 0.638355017565112 "Z = 0.47, p = 0.64" FALSE FALSE FALSE FALSE 0.6 "IQ"
"Lopez-2010-Estimated intelligence quotient in" "Z" NA NA "=" 0.63 "=" 0.53 0.528694584231355 "Z = 0.63, p = 0.53" FALSE FALSE FALSE FALSE 0.6 "IQ"
"Lopez-2010-Estimated intelligence quotient in" "Chi2" 15 NA "=" 81.2 "<" 0.001 4.2114621504432e-11 "X2(15) = 81.2, p < 0.001" FALSE FALSE FALSE FALSE 0.6 "IQ"
"Lopez-2010-Estimated intelligence quotient in" "Z" NA NA "=" 1.09 "=" 0.27 0.275713144064071 "Z = 1.09, p = 0.27" FALSE FALSE FALSE FALSE 0.6 "IQ"
"Martins-2010-A comprehensive meta-analysis of" "Z" NA NA "=" 9.009 "=" 4.690525e-18 2.07943888860934e-19 "Z = 9.009, p = 4.690525E-018" FALSE FALSE FALSE TRUE 0.26 "IQ"
"Martins-2010-A comprehensive meta-analysis of" "Z" NA NA "=" 3.223 "=" 0.001 0.00126855553715044 "Z = 3.223, p = .001" FALSE FALSE FALSE TRUE 0.26 "IQ"
"Martins-2010-A comprehensive meta-analysis of" "Z" NA NA "=" 17.06 "=" 7.68916e-39 2.94555208270897e-65 "Z = 17.060, p = 7.68916E-39" FALSE FALSE FALSE TRUE 0.26 "IQ"
"Martins-2010-A comprehensive meta-analysis of" "Z" NA NA "=" 2.55 "=" 0.005 0.0107722919081334 "Z = 2.550, p = .005" FALSE FALSE FALSE TRUE 0.26 "IQ"
"Martins-2010-A comprehensive meta-analysis of" "Z" NA NA "=" 2.228 "=" 0.01 0.0258805150013839 "Z = 2.228, p = .01" FALSE FALSE TRUE TRUE 0.26 "IQ"
"McCall_Carriger_1993" "Z" NA NA "=" 13.82 "<" 0.001 1.93069848091331e-43 "Z = 13.82, p < .001" FALSE FALSE FALSE FALSE 0.35 "IQ"
"McCall_Carriger_1993" "Chi2" 30 NA "=" 47.99 "<" 0.001 0.0198709264245547 " ^(30) = 47.99, p < .001" TRUE FALSE FALSE FALSE 0.35 "IQ"
"McCall_Carriger_1993" "Z" NA NA "=" 8.4 "<" 0.001 4.46478639457609e-17 "Z = 8.40, p < .001" FALSE FALSE FALSE FALSE 0.35 "IQ"
"McCall_Carriger_1993" "Z" NA NA "=" 10.6 "<" 0.001 2.97980225459296e-26 "Z = 10.60, p < .001" FALSE FALSE FALSE FALSE 0.35 "IQ"
"McCall_Carriger_1993" "Chi2" 18 NA "=" 40.68 "<" 0.01 0.00168490723883395 " g(18) = 40.68, p < .01" FALSE FALSE FALSE FALSE 0.35 "IQ"
"McCall_Carriger_1993" "F" 1 29 "=" 7.17 "=" 0.01 0.0120763550995873 "F(1, 29) = 7.17, p = .01" FALSE FALSE FALSE FALSE 0.35 "IQ"
"Nulsen-2010-Differential Effects of Ecstasy on" "t" NA 25 "=" 2.05 "=" 0.05 0.0509909718661794 "t(25)= 2.05, p= .05" FALSE FALSE FALSE FALSE 0.83 "IQ"
"Nulsen-2010-Differential Effects of Ecstasy on" "F" 1 25 "=" 4.22 "=" 0.05 0.050545858036773 "F(1,25)=4.22, p=.05" FALSE FALSE FALSE FALSE 0.83 "IQ"
"Nulsen-2010-Differential Effects of Ecstasy on" "t" NA 34 "=" 0.05 "=" 0.62 0.960414973340682 "t(34)= 0.05, p= 0.62" TRUE FALSE FALSE FALSE 0.83 "IQ"
"Nulsen-2010-Differential Effects of Ecstasy on" "t" NA 24 "=" 1.77 "=" 0.03 0.0894319766779126 "t(24)= 1.77, p= .03" TRUE TRUE FALSE FALSE 0.83 "IQ"
"Nulsen-2010-Differential Effects of Ecstasy on" "t" NA 33 "=" 0.49 "=" 0.63 0.62737586909781 "t(33)= .49, p= 0.63" FALSE FALSE FALSE FALSE 0.83 "IQ"
"Orton-2009-Do early intervention programmes im" "Z" NA NA "=" 7.2 "<" 0.001 6.02125596223487e-13 "Z= 7.2, p<0.001" FALSE FALSE FALSE FALSE 0.31 "IQ"
"Orton-2009-Do early intervention programmes im" "Z" NA NA "=" 4.24 "<" 0.001 2.23519786642411e-05 "Z= 4.24, p<0.001" FALSE FALSE FALSE FALSE 0.31 "IQ"
"Orton-2009-Do early intervention programmes im" "Z" NA NA "=" 8.52 "<" 0.001 1.59553321533665e-17 "Z= 8.52, p<0.001" FALSE FALSE FALSE FALSE 0.31 "IQ"
"Orton-2009-Do early intervention programmes im" "Z" NA NA "=" 7.13 "<" 0.001 1.00368927353929e-12 "Z= 7.13, p<0.001" FALSE FALSE FALSE FALSE 0.31 "IQ"
"Orton-2009-Do early intervention programmes im" "Z" NA NA "=" 0.14 "=" 0.89 0.888659990388187 "Z= 0.14, p= 0.89" FALSE FALSE FALSE FALSE 0.31 "IQ"
"Orton-2009-Do early intervention programmes im" "Z" NA NA "=" 6.95 "<" 0.001 3.65286212395392e-12 "Z= 6.95, p<0.001" FALSE FALSE FALSE FALSE 0.31 "IQ"
"Orton-2009-Do early intervention programmes im" "Z" NA NA "=" 0.37 "=" 0.71 0.711382490398907 "Z= 0.37, p= 0.71" FALSE FALSE FALSE FALSE 0.31 "IQ"
"Orton-2009-Do early intervention programmes im" "Z" NA NA "=" 0.73 "=" 0.47 0.465390184601795 "Z= 0.73, p= 0.47" FALSE FALSE FALSE FALSE 0.31 "IQ"
"Orton-2009-Do early intervention programmes im" "Z" NA NA "=" 1.82 "=" 0.07 0.06875900489178 "Z= 1.82, p= 0.07" FALSE FALSE FALSE FALSE 0.31 "IQ"
"Orton-2009-Do early intervention programmes im" "Z" NA NA "=" 1.34 "=" 0.18 0.180245344928905 "Z= 1.34, p= 0.18" FALSE FALSE FALSE FALSE 0.31 "IQ"
"Reichow-2012-Early intensive behavioral interv" "Q" NA 3 "=" 2.49 "=" 0.37 0.477101018398564 "Q(3) = 2.49, P = 0.37" TRUE FALSE FALSE FALSE 0.14 "IQ"
"Reichow-2012-Early intensive behavioral interv" "Q" NA 3 "=" 3.79 "=" 0.28 0.285051443136529 "Q(3) = 3.79, P = 0.28" TRUE FALSE FALSE FALSE 0.14 "IQ"
"Reichow-2012-Early intensive behavioral interv" "Q" NA 2 "=" 3.01 "=" 0.22 0.222017293831949 "Q(2) = 3.01, P = 0.22" FALSE FALSE FALSE FALSE 0.14 "IQ"
"Reichow-2012-Early intensive behavioral interv" "Q" NA 2 "=" 1.96 "=" 0.37 0.3753110988514 "Q(2) = 1.96, P = .37" TRUE FALSE FALSE FALSE 0.14 "IQ"
"Reichow-2012-Early intensive behavioral interv" "Q" NA 3 "=" 5.68 "=" 0.13 0.128260350587543 "Q(3) = 5.68, P = 0.13" FALSE FALSE FALSE FALSE 0.14 "IQ"
"Reichow-2012-Early intensive behavioral interv" "Q" NA 3 "=" 1.45 "=" 0.69 0.693857428197594 "Q(3) = 1.45, P = .69" FALSE FALSE FALSE FALSE 0.14 "IQ"
"Reichow-2012-Early intensive behavioral interv" "Q" NA 3 "=" 1.61 "=" 0.66 0.657124518405242 "Q(3) = 1.61, P = 0.66" FALSE FALSE FALSE FALSE 0.14 "IQ"
"Schatz-2002-Cognitive functioning in children" "t" NA 1075 "=" -5.02 "<" 0.01 6.04451338125805e-07 "t(1075) = -5.02, p < .01" FALSE FALSE FALSE FALSE 0.52 "IQ"
"Schatz-2002-Cognitive functioning in children" "t" NA 452 "=" -4.19 "<" 0.01 3.35596252543572e-05 "t(452) = -4.19, p < .01" FALSE FALSE FALSE FALSE 0.52 "IQ"
"Schatz-2002-Cognitive functioning in children" "t" NA 621 "=" -3.08 "<" 0.01 0.00216146254475138 "t(621) = -3.08, p < .01" FALSE FALSE FALSE FALSE 0.52 "IQ"
"Schatz-2002-Cognitive functioning in children" "Z" NA NA "=" 1.15 "ns" NA 0.250143871274301 "Z = 1.15, ns" FALSE FALSE FALSE FALSE 0.52 "IQ"
"Schatz-2002-Cognitive functioning in children" "t" NA 570 "=" -2.81 "<" 0.01 0.00512430091463588 "t(570) = -2.81, p < .01" FALSE FALSE FALSE FALSE 0.52 "IQ"
"Schatz-2002-Cognitive functioning in children" "t" NA 503 "=" -4.24 "<" 0.01 2.6603362555735e-05 "t(503) = -4.24, p < .01" FALSE FALSE FALSE FALSE 0.52 "IQ"
"Schatz-2002-Cognitive functioning in children" "Z" NA NA "=" 1.18 "ns" NA 0.238000214910401 "Z = 1.18, ns" FALSE FALSE FALSE FALSE 0.52 "IQ"
"Schatz-2002-Cognitive functioning in children" "t" NA 294 "=" 3 "<" 0.01 0.00293094121887447 "t(294) = 3.00, p < .01" FALSE FALSE FALSE FALSE 0.52 "IQ"
"Schatz-2002-Cognitive functioning in children" "Z" NA NA "=" 0.32 "ns" NA 0.74896833055336 "Z = 0.32, ns" FALSE FALSE FALSE FALSE 0.52 "IQ"
"Schatz-2002-Cognitive functioning in children" "Z" NA NA "=" -2.93 "<" 0.01 0.00338962003855452 "Z = -2.93, p < .01" FALSE FALSE FALSE FALSE 0.52 "IQ"
"Schatz-2002-Cognitive functioning in children" "Z" NA NA "=" -1.6 "<" 0.06 0.109598583399116 "Z = -1.60, p < .06" TRUE FALSE FALSE FALSE 0.52 "IQ"
"Schatz-2002-Cognitive functioning in children" "Z" NA NA "=" -1.3 "ns" NA 0.193600969171221 "Z = -1.30, ns" FALSE FALSE FALSE FALSE 0.52 "IQ"
"Shamosh-2008-Delay discounting and intelligenc" "Qb" NA 2 "=" 15.15 "=" 5e-04 0.000513120421794783 "QBetween(2) = 15.15, p = 0.0005" FALSE FALSE FALSE FALSE 1 "IQ"
"Shamosh-2008-Delay discounting and intelligenc" "Qb" NA 2 "=" 9.91 "=" 0.007 0.00704808027963173 "QBetween(2) = 9.91, p = 0.007" FALSE FALSE FALSE FALSE 1 "IQ"
"Shamosh-2008-Delay discounting and intelligenc" "Qb" NA 2 "=" 8.1 "=" 0.0042 0.0174223746394935 "QBetween(2)= 8.10, p= 0.0042" TRUE FALSE FALSE FALSE 1 "IQ"
"Shamosh-2008-Delay discounting and intelligenc" "Qb" NA 1 "=" 9.44 "=" 0.0041 0.00212303494391869 "QBetween(1) = 9.44, p = 0.0041" TRUE FALSE TRUE FALSE 1 "IQ"
"Shamosh-2008-Delay discounting and intelligenc" "Qb" NA 1 "=" 0.746 "=" 0.388 0.387745616981155 "QBetween(1) = 0.746, p = 0.388" FALSE FALSE FALSE FALSE 1 "IQ"
"Shamosh-2008-Delay discounting and intelligenc" "r" NA 23 "=" 0.64 "=" 0.0011 0.000570169374902556 "r(23) = 0.64, p = 0.0011" TRUE FALSE TRUE FALSE 1 "IQ"
"Shamosh-2008-Delay discounting and intelligenc" "r" NA 18 "=" 0.61 "=" 0.0074 0.0042910632788944 "r(18) = 0.61, p = 0.0074" TRUE FALSE FALSE FALSE 1 "IQ"
"Smith-2014-Sex differences in behavioral outco" "F" 1 21 "=" 2.329 "=" 0.07 0.141904562168394 "F(1,21) = 2.329, p = .07" FALSE FALSE TRUE TRUE 0.14 "IQ"
"Testa-2003-The effects of prenatal alcohol exp" "Qb" NA 2 "=" 0.65 "=" 0.72 0.722527353642072 "Qb(2) = 0.65, P = 0.72" FALSE FALSE FALSE FALSE 0.36 "IQ"
"Testa-2003-The effects of prenatal alcohol exp" "Qb" NA 2 "=" 10.43 "<" 0.01 0.00543443347648089 "Qb(2) = 10.43, P < 0.01" FALSE FALSE FALSE FALSE 0.36 "IQ"
"Testa-2003-The effects of prenatal alcohol exp" "Qb" NA 2 "=" 3.18 "=" 0.2 0.203925611734213 "Qb(2) = 3.18, P = 0.20" FALSE FALSE FALSE FALSE 0.36 "IQ"
"Testa-2003-The effects of prenatal alcohol exp" "Qb" NA 2 "=" 1.21 "=" 0.54 0.546074426639709 "Qb(2)= 1.21, P = 0.54" TRUE FALSE FALSE FALSE 0.36 "IQ"
"Uttl-2013-Prospective memory, personality, and" "t" NA 173.56 "=" 2.28 "=" 0.02 0.0238243833064143 "t (173.56) = 2.28, p = 0.02" FALSE FALSE FALSE FALSE 0.09 "IQ"
"VerhaeghenSalthouse" "Chi2" 8 NA "=" 498.49 "<" 0.001 1.48332970675207e-102 " X2(8, N = 4,809) = 498.49, p < .001" FALSE FALSE FALSE TRUE 0.2 "IQ"
"VerhaeghenSalthouse" "Chi2" 5 NA "=" 380.63 "<" 0.001 4.42830425091913e-80 " X2(5, N = 4,809) = 380.63, p < .001" FALSE FALSE FALSE TRUE 0.2 "IQ"
"Wallace-2013-Memory and Obstructive Sleep Apne" "Q" NA 1 "=" 6.04 "=" 0.01 0.0139852842339321 "Q (1) = 6.04, P = 0.01" FALSE FALSE FALSE FALSE 0.2 "IQ"
"Zhang_Effect of dexamethasone on intelligence and he" "Z" NA NA "=" 1.68 "=" 0.07 0.0929573157274401 "Z = 1.68, P = 0.07" TRUE FALSE FALSE FALSE 0.22 "IQ"
"Zhang_Effect of dexamethasone on intelligence and he" "Z" NA NA "=" 1.83 "=" 0.07 0.0672499388392567 "Z = 1.83, P = 0.07" FALSE FALSE FALSE FALSE 0.22 "IQ"
"Zhang_Effect of dexamethasone on intelligence and he" "Z" NA NA "=" 1.12 "=" 0.26 0.262713762085461 "Z = 1.12, P = 0.26" FALSE FALSE FALSE FALSE 0.22 "IQ"
"Zhang_Effect of dexamethasone on intelligence and he" "Z" NA NA "=" 2.29 "=" 0.02 0.0220213166488228 "Z = 2.29, P = 0.02" FALSE FALSE FALSE FALSE 0.22 "IQ"
"Abrami (2008)_Instructional interventions affecting critical thinking skills" "Qb" NA 2 "=" 2.28 "=" 0.32 0.319819021816304 "QB(2) = 2.28, p = .32" FALSE FALSE FALSE FALSE 0.08 "josh"
"Achenbach (1987)_Implication of cross-informant correlations for simulational specificity" "Z" NA NA "=" 1.84 "=" 0.06 0.0657682373183278 "Z = 1.84, p = .06" TRUE FALSE FALSE FALSE 0.14 "josh"
"Amato (1991)_Parental divorce and well-being" "Z" NA NA "=" 2.53 "<" 0.05 0.0114062526659014 "Z = 2.53, p < .05" FALSE FALSE FALSE FALSE 0.03 "josh"
"Amato (1991)_Parental divorce and well-being" "Z" NA NA "=" 1.98 "<" 0.05 0.047703528683017 "Z = 1.98, p < .05" FALSE FALSE FALSE FALSE 0.03 "josh"
"Archer (2000)_Differences in aggression between heterosexual partners" "Qb" NA 1 "=" 120.9 "<" 1e-04 4.01887701747042e-28 "QB (1) = 120.9, p < .0001" FALSE FALSE FALSE TRUE 0.26 "josh"
"Archer (2000)_Differences in aggression between heterosexual partners" "Qb" NA 1 "=" 39.8 "<" 1e-04 2.81345103863649e-10 "QB (1) = 39.8, p < .0001" FALSE FALSE FALSE TRUE 0.26 "josh"
"Archer (2000)_Differences in aggression between heterosexual partners" "Qb" NA 1 "=" 79.6 "<" 1e-04 4.58425513158811e-19 "QB (1) = 79.6, p < .0001" FALSE FALSE FALSE TRUE 0.26 "josh"
"Archer (2000)_Differences in aggression between heterosexual partners" "Qb" NA 1 "=" 20.2 "<" 1e-04 6.97529356316554e-06 "QB (1) = 20.2, p < .0001" FALSE FALSE FALSE TRUE 0.26 "josh"
"Archer (2000)_Differences in aggression between heterosexual partners" "Qb" NA 1 "=" 27 "<" 1e-04 2.03455461454443e-07 "QB (1) = 27.0, p < .0001" FALSE FALSE FALSE TRUE 0.26 "josh"
"Bangert-Drowns (1993)_The word processor as an instructional tool" "t" NA 19 "=" 2.56 "=" 0.02 0.0191482767329467 "t(19) = 2.56, p = .02" FALSE FALSE FALSE FALSE 0.44 "josh"
"Bangert-Drowns (1993)_The word processor as an instructional tool" "F" 1 18 "=" 3.99 "=" 0.06 0.0611146458917065 "F(1, 18) = 3.99, p = .06" FALSE FALSE FALSE FALSE 0.44 "josh"
"Bangert-Drowns (1993)_The word processor as an instructional tool" "F" 1 10 "=" 4.79 "=" 0.05 0.0534617626805664 "F(1, 10) = 4.79, p = 0.05" FALSE FALSE FALSE FALSE 0.44 "josh"
"Bangert-Drowns (1993)_The word processor as an instructional tool" "t" NA 7 "=" 1.13 "=" 0.3 0.295704294174157 "t(7) = 1.13, p = .30" FALSE FALSE FALSE FALSE 0.44 "josh"
"Bangert-Drowns (2004)_The effects of school-based writing to learn" "F" 3 44 "=" 3.55 "=" 0.02 0.0218594365017935 "F (3, 44) = 3.55, p = .02" FALSE FALSE FALSE FALSE 0.48 "josh"
"Bangert-Drowns (2004)_The effects of school-based writing to learn" "F" 1 46 "=" 11.03 "=" 0.002 0.00176218577434677 "F (1, 46) = 11.03, p = .002" FALSE FALSE FALSE FALSE 0.48 "josh"
"Bangert-Drowns (2004)_The effects of school-based writing to learn" "Qb" NA 1 "=" 4.17 "=" 0.04 0.0411457996518038 "Qbetween (1) = 4.17, p = .04" FALSE FALSE FALSE FALSE 0.48 "josh"
"Bangert-Drowns (2004)_The effects of school-based writing to learn" "F" 1 44 "=" 5.49 "=" 0.02 0.0237104790951988 "F(1, 44) = 5.49, p = .02" FALSE FALSE FALSE FALSE 0.48 "josh"
"Bangert-Drowns (2004)_The effects of school-based writing to learn" "F" 1 22 "=" 20.79 "=" 2e-04 0.000153782578807845 "F(1, 22) = 20.79, p = .0002" FALSE FALSE FALSE FALSE 0.48 "josh"
"Bangert-Drowns (2004)_The effects of school-based writing to learn" "F" 3 44 "=" 3.55 "=" 0.02 0.0218594365017935 "F(3, 44) = 3.55, p = .02" FALSE FALSE FALSE FALSE 0.48 "josh"
"Bangert-Drowns (2004)_The effects of school-based writing to learn" "Qb" NA 3 "=" 4.75 "=" 0.19 0.191045755269693 "Qbetween(3) = 4.75, p = .19" FALSE FALSE FALSE FALSE 0.48 "josh"
"Bangert-Drowns (2004)_The effects of school-based writing to learn" "F" 1 44 "=" 6.29 "=" 0.02 0.0159040627505794 "F(1, 44) = 6.29, p = .02" FALSE FALSE FALSE FALSE 0.48 "josh"
"Bangert-Drowns (2004)_The effects of school-based writing to learn" "Qb" NA 1 "=" 9.33 "=" 0.002 0.00225432354573948 "Qbetween(1) = 9.33, p = .002" FALSE FALSE FALSE FALSE 0.48 "josh"
"Bangert-Drowns (2004)_The effects of school-based writing to learn" "Z" NA NA "=" 2.02 "=" 0.04 0.0433833875352936 "Z = 2.02, p = .04" FALSE FALSE FALSE FALSE 0.48 "josh"
"Bangert-Drowns (2004)_The effects of school-based writing to learn" "Z" NA NA "=" 2.45 "=" 0.01 0.0142856214705428 "Z = 2.45, p = .01" FALSE FALSE FALSE FALSE 0.48 "josh"
"Bernard (2009)_A MA of three types of interaction treatments" "t" NA 73 "=" 209.86 "<" 0.001 2.83992498530295e-103 "T(73) = 209.86, p < .001" FALSE FALSE FALSE FALSE 0.08 "josh"
"Bernard (2009)_A MA of three types of interaction treatments" "Qb" NA 8 "=" 30.3 "<" 0.001 0.000187057668976802 "QB(8) = 30.30, p < .001" FALSE FALSE FALSE FALSE 0.08 "josh"
"Bowers (1988)_Relative contributions of specific and nonspecific treatment effects" "F" 1 78 "=" 2.59 "=" 0.11 0.11158048148335 "F(1, 78) = 2.59,p = .11" FALSE FALSE FALSE FALSE 0.5 "josh"
"Bowers (1988)_Relative contributions of specific and nonspecific treatment effects" "F" 1 27 "=" 6.34 "<" 0.05 0.018040089777104 "F ( 1 , 27) = 6.34, p < .05" FALSE FALSE FALSE FALSE 0.5 "josh"
